Company_Name,Dependent-Company Status,Age of company in years,Internet Activity Score,Industry of company,Focus functions of company,Country of company,Number of Investors in Angel and or VC,Number of of advisors,Team size all employees,Number of of repeat investors,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Consulting experience?,Product or service company?,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Machine Learning based business,Predictive Analytics business,Big Data Business,Owns data or not? (monetization of data) e.g. Factual,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Years of education,Skills score,Team Composition score,Pricing Strategy,google page rank of company website,Percent_skill_Data Science,Percent_skill_Business Strategy,Renown score
Company107,Success,6,98,Network / Hosting / Infrastructure|Food & Beverages|Analytics,operation,United States,0,2,20,1,No,Small,Yes,Yes,No,Service,Private,Yes,Structured,Cloud,Global,Non-Linear,No,No,No,No,Yes,Online,B2B,18,48,High,Yes,915558,9.444444444,7.843137255,3
Company108,Success,3,338,Analytics|E-Commerce|Marketing,"Marketing, Sales",United States,0,0,10,2,Yes,Large,Yes,Yes,Yes,Service,Private,No,Both,Cloud,Global,Linear,No,No,Yes,No,No,Online,B2B,21,19,Medium,No,431282,0,0,4
Company109,Success,4,-46,Retail,Marketing,United States,0,0,10,0,No,Small,Yes,Yes,No,Product,Public,Yes,Structured,Cloud,Global,Non-Linear,No,No,No,Yes,No,Online,B2B,21,25,Medium,Yes,1370603,0,17.64705882,7
Company110,Success,4,16,Market Research,Research,United States,0,0,10,0,No,Small,Yes,No,Yes,Service,Public,Yes,Both,Cloud,Local,Non-Linear,No,No,No,Yes,No,Online,B2B,21,22,No Info,No Info,12799600,16.66666667,11.11111111,0
Company111,Success,4,361,Analytics,"operations, sales, marketing",United States,0,1,10,0,No,Medium,No,No,No,Both,Private,Yes,Structured,Platform,Local,Non-Linear,No,No,Yes,No,No,Online,B2B,18,13,Medium,Yes,91162,0,0,0
Company112,Success,2,98,0,operations,United States,0,4,14,0,No,Large,Yes,Yes,No,Both,Public,No,Both,Cloud,Global,Non-Linear,No,No,No,Yes,No,Online,B2B,21,57.5,High,Yes,1752170,6.004901961,4.166666667,6
Company113,Success,4,0,0,research,0,0,0,15,0,No,Small,Yes,Yes,No,Product,Both,Yes,Both,Platform,Local,Non-Linear,No,Yes,Yes,Yes,Yes,Online,B2B,21,23.5,Medium,Yes,544030,16.66666667,11.11111111,0
Company114,Success,2,161,Retail|Mobile,Marketing & Sales,United States,0,0,50,0,Yes,Large,No,No,Yes,Product,Public,Yes,Both,Platform,Local,Non-Linear,No,No,Yes,Yes,Yes,Online,B2B,21,25,Medium,Yes,6864799,5.882352941,47.05882353,4
Company115,Success,5,230,Mobile|Marketing,Marketing & Sales,United States,0,2,11,0,Yes,Large,No,No,No,Both,Public,Yes,Both,Platform,Global,Non-Linear,Yes,No,Yes,Yes,Yes,Both,B2B,18,16.5,Medium,Yes,64262,0,6.25,2
Company116,Success,1,0,0,operations,0,0,0,10,0,Yes,Large,Yes,Yes,Yes,Product,Public,Yes,Both,Platform,Global,Non-Linear,No,No,No,Yes,No,Online,B2B,18,6.5,Medium,Yes,1058457,71.42857143,0,0
Company117,Success,3,528,Analytics|Marketing,"Marketing, Technology, Finance & Accounting, Customer service",United States,0,4,5,0,No,Small,Yes,Yes,Yes,Product,Both,Yes,Both,Platform,Local,Non-Linear,No,No,No,Yes,Yes,Online,B2B,21,14.5,Medium,Yes,194733,9.090909091,27.27272727,5
Company118,Success,5,512,Network / Hosting / Infrastructure,operation,United States,0,0,50,0,No,Medium,No,No,Yes,Service,Private,No,Both,Platform,Local,Non-Linear,Yes,No,No,No,No,Online,B2B,18,19.5,Medium,Yes,263431,8.333333333,2.777777778,5
Company119,Success,9,78,Enterprise Software,"Computing, training",United States,0,7,10,3,No,Small,Yes,No,Yes,Both,Private,No,Structured,Cloud,Global,Non-Linear,Yes,No,No,Yes,No,Online,B2B,18,35,High,Yes,709728,0,8.333333333,1
Company120,Success,6,150,Real Estate|Mobile|E-Commerce,marketing,United States,0,1,18,0,No,No Info,Yes,Yes,No,Product,Public,Yes,Both,Platform,Local,Non-Linear,No,No,No,Yes,No,Online,B2C,18,17,High,Yes,29452,0,15.38461538,5
Company121,Success,2,129,Media|Entertainment|Analytics|Network / Hosting / Infrastructure|Publishing,marketing,United States,0,0,15,0,No,Medium,Yes,No,No,Product,Private,Yes,Both,Platform,Local,Non-Linear,No,No,Yes,Yes,No,Online,B2C,18,22,High,Yes,297388,0,15.38461538,5
Company122,Success,4,-4,E-Commerce|Email|Analytics|Marketing,"Operations, marketing",United States,0,0,50,0,No,Small,Yes,Yes,No,Product,Private,Yes,Structured,Platform,Local,Non-Linear,Yes,Yes,Yes,Yes,No,Online,B2B,18,23,No Info,Yes,245871,11.11111111,22.22222222,7
Company123,Success,3,29,Analytics|Crowdfunding|Search|Marketing,social advertising,United States,0,4,5,0,No,Large,Yes,Yes,Yes,Product,Public,Yes,Both,Cloud,Global,Non-Linear,No,No,No,Yes,No,Online,B2B,18,43.5,Low,Yes,2134030,2.777777778,27.77777778,7
Company124,Success,4,-68,Analytics|Healthcare,Research,United States,0,7,50,1,No,Medium,Yes,Yes,No,Product,Public,Yes,Both,Platform,Local,Non-Linear,Yes,No,No,Yes,Yes,Online,B2B,25,23,High,Yes,1842172,16.66666667,5.555555556,9
Company125,Success,3,266,Network / Hosting / Infrastructure|Enterprise Software|Software Development|Analytics,operations,United States,0,0,11,1,Yes,Large,No,No,No,Product,Private,No,Structured,Cloud,Local,Non-Linear,Yes,No,No,Yes,No,Online,B2B,25,53,High,Yes,226890,3.812636166,3.812636166,5
Company126,Success,3,70,0,"marketing, sales",United States,0,0,10,0,No,Large,Yes,Yes,Yes,Product,Both,Yes,Both,Platform,Global,Non-Linear,No,Yes,No,Yes,Yes,Both,B2B,21,36,High,Yes,4910627,2.777777778,2.777777778,0
Company127,Success,8,113,Marketing,Marketing,United States,0,7,130,2,No,Large,Yes,Yes,No,Product,Both,Yes,Both,Cloud,Local,Non-Linear,Yes,No,Yes,Yes,Yes,Online,B2B,No Info,0,High,Yes,408646,0,0,0
Company128,Success,3,147,0,"marketing, sales",United States,0,0,15,0,No,Medium,Yes,Yes,No,Both,Public,Yes,Both,Platform,Local,Non-Linear,No,No,Yes,Yes,Yes,Online,B2B,21,14,Medium,Yes,1046310,0,41.66666667,4
Company129,Success,No Info,62,Market Research,operation,United States,0,0,50,0,No,Small,No,No,No,Product,Both,No,Both,Cloud,Global,Non-Linear,No,No,No,No,Yes,Online,B2B,No Info,0,High,Yes,2352334,0,0,0
Company130,Success,15,150,Healthcare,risk,United States,0,0,175,0,No,Large,No,No,No,Both,Both,Yes,Both,Platform,Local,Non-Linear,No,No,Yes,Yes,Yes,Online,B2B,21,13.5,High,Yes,1085205,0,0,2
Company131,Success,6,429,Analytics|Mobile|Marketing,"Marketing, sales",United States,6,0,75,3,No,No Info,Yes,Yes,No,Product,Both,Yes,Both,Platform,Global,Non-Linear,No,No,Yes,Yes,No,Online,B2C,21,26,High,Yes,28190,10,30,0
Company132,Success,8,-385,Marketing,"Marketing 
sales",United States,0,0,120,1,No,Small,Yes,Yes,No,Product,Private,Yes,Both,Cloud,Global,Non-Linear,No,No,No,Yes,Yes,Online,B2B,21,24.5,High,Yes,211794,5.882352941,8.823529412,1
Company133,Success,2,96,Analytics|Telecommunications,Research,Argentina,1,3,16,0,No,Medium,Yes,Yes,Yes,Product,Public,Yes,Both,Platform,Global,Non-Linear,No,No,Yes,Yes,No,Online,B2B,No Info,7.5,High,Yes,1603864,25,0,2
Company134,Success,4,81,Marketing,data collection ,United States,2,0,23,0,No,Small,Yes,Yes,No,Product,Public,Yes,Unstructured,Platform,Local,Non-Linear,No,Yes,No,No,Yes,Online,B2B,18,21,High,Yes,731564,11.11111111,11.11111111,2
Company135,Success,2,627,Marketing|Enterprise Software|Analytics,marketing,United States,1,0,10,0,No,Small,No,No,No,Product,Private,No,Structured,Cloud,Local,Non-Linear,No,No,No,Yes,No,Online,B2B,18,23,Medium,Yes,193129,17.64705882,0,4
Company136,Failed,10,0,0,"development, marketing, and administration",United States,0,1,100,0,No,Medium,Yes,Yes,No,Both,Private,Yes,Both,Platform,Local,Non-Linear,No,No,No,No,No,Online,B2B,18,100,Low,No,No Info,0,0,4
Company137,Failed,14,0,Network / Hosting / Infrastructure,IT & Sales,United States,0,0,50,0,No,Large,Yes,Yes,Yes,Product,no,No,no,Platform,Local,Linear,No,No,No,No,No,Offline,B2B,21,25,Medium,No,No Info,0,0,5
Company138,Failed,10,-445,Media,social news,United States,0,0,10,0,Yes,Medium,Yes,Yes,No,Product,Public,No,Unstructured,Platform,Global,Non-Linear,No,No,No,No,No,Online,B2C,21,200,Low,No,483,3.125,21.875,1
Company139,Failed,9,-91,0,web,United States,0,0,30,0,No,Small,No,No,Yes,Product,Public,Yes,Both,Platform,Global,Non-Linear,Yes,Yes,No,Yes,No,Online,B2C,25,0,Low,Yes,545749,0,0,0
Company140,Failed,5,-69,E-Commerce,sale,United States,0,0,80,1,No,Small,Yes,Yes,Yes,Service,Public,No,no,Platform,local,Non-Linear,Yes,No,No,No,No,Online,B2B,21,8,Low,Yes,8990243,0,46.66666667,3
Company141,Failed,9,-46,0,Sales & Marketing,United States,1,0,50,0,No,Small,Yes,Yes,Yes,Product,no,No,no,Platform,No Info,No Info,No Info,No,No,No,No,Online,B2C,21,25,Low,Yes,8714861,0,17.64705882,3
Company142,Failed,6,14,Mobile,operation,United Kingdom,0,0,40,0,No,Small,Yes,Yes,Yes,Product,no,No,no,Platform,Global,No Info,No Info,No,No,No,No,Offline,B2C,21,25,Low,Yes,1989996,0,20,7
Company143,Failed,2,16,E-Commerce|Food & Beverages|Mobile,Sales,United States,0,0,10,0,No,Small,No,No,Yes,Product,no,No,no,Platform,Local,Linear,Yes,No,No,No,No,Online,B2C,18,25,Low,Yes,3274502,5.555555556,27.77777778,3
Company144,Failed,3,107,Mobile,social network,United States,5,0,6,5,Yes,Small,No,No,No,Service,no,No,no,Platform,No Info,No Info,No Info,No,No,No,No,Online,B2C,18,12,Low,Yes,718025,4.444444444,1.960784314,2
Company145,Failed,4,-77,Education,consumer web,United States,0,0,10,0,No,Medium,No,No,No,Product,Public,No,Unstructured,Cloud,Local,Non-Linear,Yes,No,No,Yes,Yes,Online,B2C,18,4,Low,Yes,3638146,2.380952381,4.761904762,3
Company146,Failed,6,-535,Social Networking|Mobile,writing blog,United States,2,0,10,0,No,Small,No,No,No,Product,Public,Yes,Both,Platform,Global,Non-Linear,No,No,No,Yes,No,Online,B2C,No Info,9,Low,No,245307,0,25,0
Company147,Failed,7,-8,Entertainment|Media|Mobile,marketing,Italy,0,0,10,1,No,Medium,No,No,Yes,Service,Public,No,Unstructured,Platform,No Info,No Info,No Info,No,No,No,No,Online,B2C,18,0,Low,No,14598301,15.38461538,7.692307692,5
Company148,Failed,8,0,0,curated web,0,1,0,3,0,No,Medium,Yes,Yes,No,Service,Private,No,Both,Platform,Global,Non-Linear,No,No,No,No,No,Online,B2C,18,140,Low,No,No Info,0,0,3
Company149,Success,5,0,0,marketing,0,0,0,20,1,No,Small,No,No,No,Service,Private,No,no,Platform,Local,Non-Linear,No,No,No,Yes,No,Online,B2C,18,18,Low,No,No Info,0,0,6
Company150,Failed,8,8,Search,Data Management,United States,0,0,3,0,No,Small,No,No,No,Service,Private,No,Both,Platform,Local,Non-Linear,No,No,No,No,No,Online,B2C,21,29,Low,No,7974958,0,0,5
Company151,Failed,7,-9,Media,Recommendation ,United States,0,2,40,0,No,Small,Yes,Yes,No,Service,Private,No,Both,Platform,Local,Non-Linear,No,Yes,Yes,Yes,No,Online,B2C,21,25,Medium,Yes,16821322,0,22.22222222,6
Company152,Success,9,50,Advertising|Gaming|Marketing,Marketing,United States,0,2,32,1,No,Small,Yes,Yes,No,Service,Public,Yes,Unstructured,Platform,Local,Non-Linear,No,No,No,Yes,No,Online,B2C,18,12,Low,Yes,7445,0,0,2
Company153,Failed,No Info,0,0,web,0,0,0,50,1,No,Small,No,No,No,Service,Private,No,no,Platform,Global,Non-Linear,No,No,No,No,No,Online,B2C,21,0,Medium,Yes,No Info,0,0,0
Company154,Failed,4,0,0,Marketing,0,0,0,3,0,Yes,Small,Yes,Yes,No,Service,Private,No,Both,Platform,Global,Non-Linear,No,No,No,No,No,Offline,B2B,18,45,Medium,Yes,No Info,0,3.571428571,2
Company155,Success,2,205,0,"Marketing,Sales,Risk,Operations",United States,0,0,51,0,No,Large,Yes,Yes,No,Service,Private,Yes,Structured,Cloud,Global,Non-Linear,No,No,No,No,No,Both,B2B,21,16,Medium,Yes,2205289,6.25,12.5,0
Company156,Success,7,120,0,Strategy,United States,1,6,322,4,No,Medium,Yes,Yes,Yes,Product,Public,Yes,Structured,Platform,Global,Linear,Yes,No,No,Yes,No,Both,B2B,18,50,High,Yes,29182,1.851851852,7.407407407,5
Company157,Success,7,-69,Analytics,Strategy,United States,7,0,46,6,No,Medium,Yes,Yes,No,Product,Private,No,Structured,Both,Global,Linear,Yes,No,No,Yes,No,Online,B2B,21,40,Low,Yes,No Info,8.333333333,2.777777778,0
Company158,Success,1,0,0,Marketing,0,0,0,12,0,No,Small,No,No,No,Service,Both,Yes,Both,Platform,Global,Non-Linear,No,Yes,Yes,Yes,Yes,Both,B2B,21,18,Low,No,1615432,38.88888889,0,0
Company159,Failed,7,17,0,Marketing,United States,0,1,5,0,Yes,Small,No,No,No,Service,Private,No,Structured,Platform,Global,Non-Linear,No,No,No,No,Yes,Online,B2B,21,25,Medium,No,No Info,13.33333333,26.66666667,3
Company160,Failed,7,0,0,curated web,0,1,0,4,0,No,Medium,Yes,Yes,No,Service,Public,No,Both,Platform,Global,Linear,Yes,Yes,Yes,Yes,No,Online,B2C,18,10,Low,No,No Info,0,0,0
Company161,Success,7,1535,Analytics|Enterprise Software,Development Tool,United States,0,6,33,0,No,Medium,Yes,Yes,Yes,Service,Private,No,Structured,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Online,B2B,25,41,High,Yes,104224,0,0,1
Company162,Success,1,120,Analytics|Finance,Strategy,United States,7,1,8,4,No,Small,Yes,No,No,Service,Private,No,Structured,Platform,Local,Non-Linear,No,No,Yes,Yes,No,Online,B2B,21,10,Low,Yes,1125918,15.27777778,5.555555556,6
Company163,Success,7,355,Analytics|Insurance,Tool,United States,0,3,105,3,No,Large,Yes,No,Yes,Product,Private,No,Both,Both,Global,Linear,Yes,Yes,Yes,Yes,Yes,Online,B2C,18,6,High,No,95565,20,20,0
Company164,Success,5,0,0,"Customer Retention, Customer Feedback",0,0,0,5,0,No,Small,Yes,Yes,No,Service,Private,Yes,Both,Platform,Local,Non-Linear,No,No,No,No,No,Offline,B2B,18,17,Low,No,6536311,0,22.22222222,4
Company165,Success,1,294,E-Commerce|Retail|Mobile,Inventory management,United States,1,0,6,0,No,Small,No,No,No,Service,Private,No,Structured,Platform,Local,Linear,Yes,Yes,Yes,Yes,No,Online,B2B,21,45,Low,Yes,810092,0,12.96296296,4
Company166,Success,3,221,Gaming|CleanTech|Social Networking|Energy,Energy saving,United States,0,0,32,3,No,Large,No,No,No,Service,Private,Yes,Structured,Platform,Local,Non-Linear,No,No,No,No,No,Online,B2C,18,27,Medium,Yes,797253,3.125,9.191176471,4
Company167,Success,2,334,Analytics,"Optimization, CRM, Pricing",United States,0,4,42,1,Yes,Medium,No,No,No,Service,Private,No,Structured,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Both,B2B,25,40,Medium,Yes,583200,61.11111111,13.88888889,1
Company168,Success,7,84,Advertising|Media|Mobile|Marketing,Social Media optimization,United States,0,4,290,0,No,Small,Yes,Yes,Yes,Service,Private,No,Both,Platform,Global,Non-Linear,No,No,No,No,No,Online,B2B,18,20,Medium,Yes,No Info,0,16.66666667,8
Company169,Success,5,237,0,many,United States,3,5,40,3,No,Small,No,No,No,Service,Private,No,Structured,Platform,Global,Linear,Yes,Yes,Yes,Yes,No,Offline,B2B,18,21,Medium,No,2155880,13.88888889,11.11111111,2
Company170,Failed,7,0,0,games,0,0,1,4,0,No,Small,No,No,No,Service,Private,No,no,Platform,Global,Non-Linear,No,No,No,No,No,Online,B2C,21,25,Low,No,No Info,0,22.22222222,4
Company171,Success,4,616,Analytics|Software Development|Marketing,"Marketing, customer targeting",United States,0,0,5,0,No,Small,No,No,No,Service,Private,No,Both,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Online,B2B,21,35,Low,No,103061,5.882352941,2.941176471,0
Company172,Failed,No Info,3,Space Travel,entertainment,United States,0,1,10,0,No,Small,No,No,No,Product,Private,No,no,Platform,Local,Non-Linear,No,No,No,No,No,Online,B2C,18,10,Medium,Yes,2738450,0,0,7
Company173,Success,2,137,Analytics,Database Management,United States,0,4,30,1,No,Medium,Yes,Yes,No,Product,Private,No,Both,Platform,Global,Linear,Yes,No,No,Yes,No,Offline,B2B,21,12,Medium,Yes,1065438,0,4.545454545,1
Company174,Success,12,83,0,Database Management,United States,0,6,18,0,No,Medium,Yes,Yes,No,Service,Private,No,Structured,Platform,Global,Linear,Yes,No,No,Yes,No,Offline,B2B,18,0,High,Yes,No Info,0,0,7
Company175,Success,4,191,Search|Enterprise Software|Mobile,Search EnginenOptimization,United States,9,0,8,0,Yes,Large,Yes,Yes,No,Product,Private,No,Both,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Offline,B2B,25,0,Medium,Yes,1178117,0,0,8
Company176,Success,2,23,0,Information management,United States,0,1,10,0,No,Small,Yes,Yes,No,Service,Private,Yes,Structured,Platform,local,Linear,No,No,No,Yes,No,Online,B2C,21,25,Low,No,6657549,0,8.333333333,5
Company177,Success,5,56,Analytics|Marketing|Software Development,strategy,United States,5,2,14,2,Yes,Large,No,No,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,No,No,No,No,Online,B2B,18,9,Medium,No,108639,3.703703704,19.7945845,8
Company178,Success,6,246,0,technology,United States,2,3,60,2,Yes,Large,No,No,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,Yes,No,Yes,No,Online,B2B,25,20,Medium,Yes,368165,38.90564773,4.415954416,1
Company179,Success,3,299,Analytics|Security|Enterprise Software,technology,United States,0,2,25,2,No,Small,No,No,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,No,Yes,No,No,Online,B2B,18,20,Medium,No,1162155,0,0,2
Company180,Success,4,-100,Media|Publishing,operations,United States,0,5,11,10,Yes,Medium,Yes,Yes,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,No,No,No,No,Online,B2C,18,22,Medium,No,290009,5.902777778,18.05555556,8
Company181,Success,2,143,Analytics|Social Networking|Email,strategy,United States,0,6,No Info,0,No,Medium,No,No,No,Service,Private,Yes,Structured,Cloud,global,Non-Linear,No,No,Yes,No,No,Online,B2C,18,6,Medium,No,3506564,0,50,0
Company182,Success,4,-69,Media|Analytics|Marketing,Social media analytics,United States,0,0,7,0,Yes,Medium,Yes,No,No,Product,Private,Yes,Unstructured,Platform,global,Non-Linear,No,No,Yes,No,No,Online,B2B,18,7,Medium,No,22105,1.960784314,5.773420479,9
Company183,Success,3,398,0,marketing,United States,0,0,11,0,No,Small,Yes,No,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,No,Yes,No,No,Online,B2B,18,10,Low,No,88188,0,0,0
Company184,Success,2,193,E-Commerce|Finance,operations,United States,0,0,No Info,0,No,Medium,No,No,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,Yes,No,Yes,No,Online,B2C,18,11,Medium,No,990957,0,0,0
Company185,Success,2,123,Mobile|Analytics,operations,United States,0,4,8,5,No,Small,Yes,Yes,No,Product,Private,Yes,Structured,Cloud,global,Non-Linear,No,No,No,Yes,No,Online,B2B,No Info,23,Medium,Yes,880762,0,11.76470588,3
Company186,Success,4,0,Marketing,Marketing,United States,0,9,50,0,No,Small,Yes,Yes,No,Product,Private,Yes,Unstructured,Platform,local,Non-Linear,No,No,No,Yes,No,Online,B2C,21,21,Medium,No,No Info,3.333333333,25.09803922,8
Company187,Success,2,53,Analytics|Energy,Operations,United States,0,1,10,0,No,Small,No,No,No,Service,Public,No,Structured,Cloud,Local,Linear,No,No,Yes,No,No,Online,B2C,18,18,Medium,No,No Info,0,20,4
Company188,Success,3,143,CleanTech|Analytics|Energy,Operations,United States,0,0,10,1,No,Small,No,No,Yes,Service,Private,Yes,Unstructured,Platform,Local,Non-Linear,Yes,Yes,No,No,No,Offline,B2C,21,16,Medium,No,1158531,12.5,12.5,0
Company189,Success,3,268,0,Operations,United States,0,1,16,0,No,Medium,Yes,No,No,Product,Public,Yes,Structured,Cloud,Local,Linear,No,No,Yes,Yes,No,Online,B2B,21,5,Medium,No,No Info,0,0,0
Company190,Success,3,28,Analytics,technology,United States,0,2,50,2,Yes,Medium,Yes,Yes,No,Product,Private,Yes,Structured,Cloud,global,Non-Linear,No,No,Yes,Yes,No,Online,B2B,18,37,Medium,Yes,No Info,0,0,1
Company191,Success,7,149,0,"marketing, strategy",United States,0,4,15,1,Yes,Large,Yes,Yes,No,Product,Private,Yes,Structured,Platform,global,Non-Linear,No,No,No,No,No,Online,B2B,21,8,Low,No,No Info,0,33.33333333,2
Company192,Success,3,448,Advertising|Marketing|Analytics,marketing,United States,0,0,15,1,No,Medium,No,No,No,Product,Private,Yes,Structured,Platform,global,Non-Linear,No,No,No,No,No,Online,B2B,21,24,Medium,No,156473,11.11111111,11.11111111,9
Company193,Success,2,0,0,technology,United States,0,8,15,1,No,Medium,Yes,Yes,No,Service,Private,Yes,Structured,Cloud,global,Non-Linear,Yes,No,No,Yes,No,Online,B2B,21,12,Medium,No,10414376,0,17.64705882,7
Company194,Success,3,162,Enterprise Software,strategy,United States,3,6,30,3,No,Medium,Yes,Yes,No,Product,Private,Yes,Structured,Platform,global,Non-Linear,No,No,No,Yes,No,Online,B2B,21,18,Low,No,359437,16.66666667,5.555555556,3
Company195,Success,1,286,Retail|Analytics,customer engagement,United States,0,6,43,0,No,Medium,Yes,No,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,No,Yes,No,No,Online,B2B,18,17,Low,No,735463,17.12962963,9.259259259,1
Company196,Success,2,1,Analytics,operations,United States,0,11,28,2,No,Large,No,No,No,Product,Private,Yes,Structured,Platform,global,Non-Linear,No,No,Yes,No,No,Online,B2B,25,18,Low,No,1409473,50,0,0
Company197,Success,3,270,Analytics|Enterprise Software|Cloud Computing|Software Development,technology,United States,3,2,20,3,No,Medium,Yes,No,No,Product,Private,No,Structured,Cloud,global,Non-Linear,No,No,No,Yes,No,Online,B2B,18,17,Low,Yes,48561,8.333333333,5.555555556,8
Company198,Success,2,299,Marketing|Analytics,marketing,United States,0,2,22,3,Yes,Medium,No,No,No,Service,Private,Yes,Unstructured,Platform,global,Non-Linear,No,Yes,No,Yes,No,Online,B2B,18,5,Low,No,No Info,0,25,1
Company199,Success,3,291,Analytics,technology,United States,0,1,8,1,Yes,Medium,No,No,No,Service,Private,Yes,Structured,Cloud,global,Non-Linear,No,No,No,Yes,No,Online,B2B,18,12,Medium,Yes,No Info,0,0,5
Company200,Success,5,456,Analytics,technology,United States,0,0,80,3,Yes,Medium,No,No,No,Product,Private,No,Structured,Cloud,global,Non-Linear,No,No,No,Yes,No,Online,B2B,21,14,Low,No,880762,16.66666667,5.555555556,2
Company201,Success,4,331,0,Operations,United States,0,1,226,6,Yes,Medium,Yes,Yes,No,Product,Private,Yes,Structured,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Online,B2B,18,18,Medium,No,4331697,0,8.333333333,4
Company202,Success,2,118,Analytics|Enterprise Software,operations,United States,0,0,22,0,No,Small,No,No,No,Product,Private,Yes,Both,Cloud,Global,Non-Linear,Yes,Yes,No,Yes,No,Online,B2B,18,18,Low,No,44388,6.623931624,16.66666667,5
Company203,Success,3,258,0,Sales,United States,0,6,45,0,No,Medium,No,No,No,Product,Private,Yes,Unstructured,Cloud,Local,Non-Linear,No,Yes,No,No,No,Online,B2B,18,14,Medium,Yes,2084312,0,0,1
Company204,Success,4,131,Advertising|Market Research,Marketing,United States,0,0,49,0,No,Medium,Yes,Yes,Yes,Product,Private,Yes,Structured,Cloud,Local,Linear,No,No,Yes,No,No,Online,B2B,21,14,Medium,Yes,2186599,16.66666667,11.11111111,0
Company205,Success,5,222,Software Development,technology,United States,0,3,50,0,Yes,Medium,No,No,No,Service,Private,Yes,Structured,Cloud,global,Linear,No,No,No,Yes,No,Online,B2B,25,22,Low,Yes,No Info,1.851851852,16.66666667,6
Company206,Success,5,56,Enterprise Software|Software Development,technology,United States,0,3,24,2,Yes,Medium,Yes,Yes,No,Product,Private,Yes,Structured,Platform,global,Non-Linear,No,No,No,Yes,No,Online,B2B,18,18,Low,No,427794,0,16.66666667,9
Company207,Success,4,281,Energy,operations,United States,0,4,15,1,Yes,Large,No,No,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,No,Yes,Yes,No,Online,B2C,18,14,Medium,No,533971,0,6.25,8
Company208,Success,7,331,Analytics,Social media analytics,United States,0,1,85,0,Yes,Small,Yes,Yes,No,Product,Private,Yes,Unstructured,Platform,global,Non-Linear,No,No,Yes,No,No,Online,B2B,25,20,Low,Yes,58457,0,0,3
Company209,Success,3,194,CleanTech|Analytics|Real Estate|Energy,Operations,United States,2,2,48,4,Yes,Medium,No,No,No,Service,Private,Yes,Unstructured,Platform,Local,Linear,No,Yes,No,Yes,No,Offline,B2C,21,42,Medium,No,No Info,2.941176471,19.44444444,3
Company210,Success,7,5,Security|Cloud Computing,Operations,United States,2,0,80,0,Yes,Medium,Yes,Yes,No,Product,Private,Yes,Structured,Platform,global,Non-Linear,No,No,No,Yes,No,Online,B2B,25,17,Low,No,889950,0,8.333333333,2
Company211,Success,3,109,CleanTech|Energy,operations,United States,3,0,50,2,Yes,Small,Yes,Yes,No,Product,Private,Yes,Structured,Platform,local,Non-Linear,No,No,Yes,Yes,No,Online,B2B,25,37,Medium,No,6773962,5.555555556,16.66666667,9
Company212,Success,14,194,0,strategy,United States,5,0,40,0,Yes,Large,No,No,Yes,Service,Private,Yes,Unstructured,Platform,global,Non-Linear,Yes,No,No,No,No,Offline,B2B,18,41,Low,Yes,1147953,0,0,0
Company213,Success,5,61,E-Commerce,technology,United States,1,0,10,0,No,Small,Yes,Yes,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,No,No,No,No,Offline,B2B,21,22,Low,No,1676454,4.761904762,19.04761905,2
Company214,Success,6,464,Analytics,marketing,United States,1,2,50,2,Yes,Medium,Yes,Yes,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,No,No,No,No,Offline,B2B,21,23,Medium,No,141868,10.52631579,10.52631579,5
Company215,Success,5,31,Advertising|Retail|Mobile,marketing,United States,1,0,7,0,No,Medium,Yes,Yes,Yes,Product,Private,Yes,Structured,Platform,local,Non-Linear,No,No,No,No,No,Online,B2B,18,14,Low,No,6670312,0,0,0
Company216,Success,2,98,E-Commerce|Enterprise Software|Analytics,"marketing, strategy",United States,1,1,9,0,Yes,Small,Yes,Yes,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,No,Yes,No,No,Online,B2B,18,10,Medium,No,410491,0,27.77777778,0
Company217,Success,2,0,0,operations,0,2,1,4,0,No,Large,No,No,No,Service,Private,No,Structured,Platform,global,Non-Linear,No,No,No,No,No,Online,B2B,21,14,Low,Yes,No Info,7.777777778,13.33333333,7
